1,Eugenio,Suarez,3B,1991-07-18,"5'11""",213 lbs,Venezuela,,,,
2,Jose,Iglesias,SS,1990-01-05,"5'11""",185 lbs,Cuba,,,,
3,Derek,Dietrich,2B,1989-07-18,"6'0""",200 lbs,United States,,,,
4,Aristides,Aquino,OF,1994-04-22,"6'4""",220 lbs,Dominican Republic,,,,yyyy-mm-d
5,Curt,Casali,C,1988-11-09,"6'3""",225 lbs,United States,,,,
6,Jesse,Winker,OF,1993-08-17,"6'3""",215 lbs,United States,,,,
7,Nick,Senzel,OF,1995-06-29,"6'1""",205 lbs,United States,,,,
8,Tucker,Barnhart,C,1991-01-07,"5'11""",192 lbs,United States,,,,
9,Joey,Votto,1B,1983-09-10,"6'2""",220 lbs,Canada,,,,
10,Yasiel,Puig,OF,1990-12-07,"6'2""",240 lbs,Cuba,,,,
11,Phillip,Ervin,OF,1992-07-15,"5'10""",207 lbs,United States,,,,
12,Josh,VanMeter,OF,1995-03-10,"5'11""",165 lbs,United States,,,,
13,Freddy,Galvis,SS,1989-11-14,"5'10""",185 lbs,Venezuela,,,,
14,Kyle,Farmer,2B,1990-08-17,"6'0""",214 lbs,United States,,,,
15,Jose,Peraza,2B,1994-04-30,"6'0""",196 lbs,Venezuela,,,,
16,Scott,Schebler,OF,1990-10-06,"6'0""",228 lbs,United States,,,,
